CASE_ID,CLUSTER
2025134866,3
2025134919,3
2025134951,3
2025135013,3
2025135093,0
2025135142,3
2025135259,3
2025135299,0
2025135391,3
2025135501,0
2025135590,3
2025135608,3
2025135683,0
2025135716,3
2025135728,3
2025135776,3
2025135782,3
2025135864,3
2025135907,3
2025135979,3
2025136205,3
2025136667,3
2025136854,3
2025136929,3
2025136941,3
2025137110,3
2025137124,3
2025137151,3
2025137186,3
2025137308,3
2025137440,3
2025137438,3
2025137850,0
2025137969,0
2025138026,3
2025138120,3
2025138145,0
2025138212,3
2025138218,3
2025138344,3
2025138420,3
2025138480,3
2025138686,3
2025138765,3
2025138935,3
2025138937,3
2025139013,3
2025139125,2
2025139131,2
2025139356,2
2025139384,2
2025139484,2
2025139656,2
2025139712,2
2025139903,2
2025139942,2
2025140116,2
2025140194,2
2025140276,2
2025140286,2
2025140315,2
2025140398,0
2025140651,2
2025140689,2
2025140687,2
2025140772,2
2025140839,2
2025140894,0
2025140970,2
2025141024,2
2025141417,2
2025141442,2
2025141454,0
2025141510,2
2025141563,2
2025141789,0
2025141986,2
2025142012,2
2025142027,2
2025142328,0
2025142347,2
2025142415,0
2025142480,2
2025142710,2
2025142718,2
2025142746,2
2025142828,2
2025142860,2
2025143000,2
2025143005,2
2025143053,2
2025143129,2
2025143195,0
2025143340,2
2025143491,3
2025143806,3
2025143849,3
2025143881,3
2025144018,0
2025144029,3
2025144101,3
2025144106,0
2025144154,3
2025144178,3
2025144252,3
2025144399,3
2025144401,3
2025144422,3
2025144458,3
2025144500,3
2025144530,0
2025144583,3
2025144643,3
2025144863,3
2025144929,3
2025144973,3
2025145136,3
2025145295,3
2025145307,0
2025145464,3
2025145498,3
2025145579,3
2025145793,3
2025145817,3
2025145842,3
2025145910,3
2025146077,0
2025146131,3
2025146200,3
2025146263,3
2025146437,3
2025146494,3
2025146512,3
2025146739,3
2025146746,3
2025147003,3
2025147079,3
2025147208,3
2025147294,3
2025147304,3
2025147364,3
2025147492,3
2025147610,3
2025147890,3
2025148200,0
2025148299,0
2025148385,2
2025148601,2
2025148763,2
2025148989,2
2025149091,2
2025149420,2
2025149486,2
2025149692,2
2025149695,2
2025149832,2
2025149873,2
2025149878,2
2025149947,2
2025149993,2
2025150145,2
2025150151,2
2025150205,2
2025150202,2
2025150350,2
2025150516,2
2025150545,2
2025150614,0
2025150724,2
2025150823,2
2025150844,2
2025150908,2
2025150949,2
2025151036,2
2025151249,2
2025151259,2
2025151313,2
2025151344,2
2025151371,2
2025151479,2
2025151513,2
2025151668,2
2025151684,2
2025151694,2
2025151760,2
2025151838,2
2025151899,2
2025152032,2
2025152054,2
2025152203,2
2025152281,2
2025152289,2
2025152464,2
2025152703,0
2025152712,3
2025152724,3
2025152896,0
2025152945,3
2025153082,3
2025153096,3
2025153127,3
2025153186,3
2025153220,3
2025153269,3
2025153400,0
2025153423,3
2025153493,3
2025153601,3
2025153633,3
2025153703,3
2025153741,3
2025153768,3
2025153824,3
2025153947,3
2025154233,3
2025154326,3
2025154327,3
2025154370,3
2025154444,3
2025154458,3
2025154697,3
2025154801,3
2025154862,3
2025154947,3
2025154975,3
2025155172,3
2025155318,3
2025155446,3
2025155539,3
2025155534,3
2025155546,3
2025155583,3
2025155613,3
2025155637,3
2025155678,3
2025155693,3
2025155735,3
2025155974,3
2025156055,3
2025156411,3
2025156622,3
2025156646,3
2025156689,0
2025156819,3
2025156898,3
2025156902,0
2025156962,3
2025157097,3
2025157225,3
2025157242,3
2025157386,3
2025157521,3
2025157547,3
2025157561,3
2025157636,2
2025157688,2
2025157768,0
2025157769,0
2025157793,2
2025157820,2
2025157823,2
2025157859,2
2025157884,0
2025157923,2
2025157940,2
2025157982,2
2025158070,2
2025158088,2
2025158163,2
2025158172,2
2025158231,2
2025158227,2
2025158247,2
2025158280,2
2025158421,2
2025158461,2
2025158470,0
2025158498,2
2025158506,2
2025158588,2
2025158700,2
2025158734,2
2025158803,2
2025159202,2
2025159392,2
2025159448,2
2025159452,2
2025159506,0
2025159503,2
2025159628,2
2025159624,2
2025159653,2
2025159679,2
2025159718,2
2025160102,2
2025160188,2
2025160296,2
2025160369,2
2025160416,2
2025160477,2
2025160482,0
2025160543,2
2025160660,2
2025160653,2
2025160681,2
2025160718,2
2025160798,2
2025160867,2
2025160881,2
2025160942,2
2025160984,2
2025161024,2
2025161168,2
2025161216,0
2025161239,2
2025161337,2
2025161511,2
2025161539,2
2025161576,2
2025161589,0
2025161611,2
2025161664,2
2025161694,2
2025161707,2
2025161703,2
2025161712,2
2025161944,0
2025161984,2
2025162137,2
2025162156,2
2025162222,3
2025162225,3
2025162247,3
2025162269,3
2025162373,3
2025162967,3
2025163009,3
2025163102,3
2025163119,3
2025163225,3
2025163350,3
2025163352,3
